DocEntry,LineNum,DocDate,DocTime,BaseRef,TransType,MovementType,ItemCode,BatchNum,WhsCode,Quantity,UoM,Remark,U_PTCode,U_Emisor,U_Receptor,CreateTS
100013,0,2025-07-03,090850,250725,Issue,I,451.312.505,L250703-03,MP-01,438.214,kg,PLANTA CRE | Proceso OK,513.157.032,Operario A,Tanque 3,2025-07-03T09:08:50
100014,0,2025-07-03,121509,250716,Issue,I,451.738.922,L250703-03,MP-02,423.879,kg,PLANTA CRE | Proceso OK,505.094.071,Supervisor,Tanque 5,2025-07-03T12:15:09
100015,0,2025-07-03,150408,250732,Issue,I,454.531.397,L250703-03,AD-01,344.752,kg,PLANTA CRE | Proceso OK,513.167.038,Supervisor,Tanque 5,2025-07-03T15:04:08
100016,0,2025-07-03,165534,250721,Issue,I,455.553.506,L250703-02,MP-01,132.971,kg,PLANTA CRE | Proceso OK,513.113.009,Supervisor,Línea 1,2025-07-03T16:55:34
100017,0,2025-07-03,183619,250720,Issue,I,453.436.764,L250703-03,MP-01,475.323,kg,PLANTA CRE | Proceso OK,512.178.032,Operario B,Línea 2,2025-07-03T18:36:19
100018,0,2025-07-04,133834,250729,Issue,I,454.515.383,L250704-02,AD-01,740.08,kg,PLANTA MAK | Proceso OK,505.112.005,Operario A,Línea 1,2025-07-04T13:38:34
100019,0,2025-07-04,175831,250732,Issue,I,451.754.191,L250704-02,AD-01,558.495,kg,PLANTA CRE | Proceso OK,513.167.038,Operario B,Tanque 3,2025-07-04T17:58:31
100020,0,2025-07-05,084239,250733,Issue,I,455.656.602,L250705-03,MP-01,624.478,kg,PLANTA CRE | Proceso OK,501.116.074,Operario B,Línea 2,2025-07-05T08:42:39
100021,0,2025-07-05,103524,250728,Issue,I,451.572.695,L250705-02,AD-01,517.923,L,PLANTA CRE | Proceso OK,501.162.148,Operario B,Línea 1,2025-07-05T10:35:24
100022,0,2025-07-05,134727,250727,Issue,I,454.622.453,L250705-02,MP-03,484.271,kg,PLANTA CRE | Proceso OK,501.173.005,Operario A,Línea 1,2025-07-05T13:47:27
100023,0,2025-07-05,134923,250725,Issue,I,451.100.241,L250705-03,MP-01,329.924,kg,PLANTA CRE | Proceso OK,513.157.032,Operario A,Tanque 5,2025-07-05T13:49:23
100024,0,2025-07-05,150057,250729,Issue,I,451.425.055,L250705-02,MP-02,419.46,kg,PLANTA MAK | Proceso OK,505.112.005,Supervisor,Tanque 5,2025-07-05T15:00:57
100025,0,2025-07-05,150833,250731,Issue,I,453.655.811,L250705-02,MP-03,571.63,kg,PLANTA CRE | Proceso OK,505.177.074,Supervisor,Línea 1,2025-07-05T15:08:33
100026,0,2025-07-05,160057,250723,Issue,I,453.926.030,L250705-03,MP-03,378.085,kg,PLANTA MAK | Proceso OK,505.024.071,Supervisor,Tanque 3,2025-07-05T16:00:57
100027,0,2025-07-05,165733,250735,Issue,I,455.307.487,L250705-03,MP-02,1920.008,kg,PLANTA CRE | Proceso OK,505.084.127,Operario B,Línea 1,2025-07-05T16:57:33
100027,1,2025-07-05,170833,250735,Issue,I,453.608.345,L250705-01,AD-01,584.394,kg,PLANTA CRE | Proceso OK,505.084.127,Supervisor,Línea 1,2025-07-05T17:08:33
100028,0,2025-07-06,080904,250728,Issue,I,451.572.695,L250706-02,AD-01,22.0,ud,PLANTA CRE | Proceso OK,501.162.148,Operario B,Línea 2,2025-07-06T08:09:04
100029,0,2025-07-06,085044,250715,Issue,I,455.723.438,L250706-02,AD-01,290.367,kg,PLANTA CRE | Proceso OK,501.086.010,Operario B,Tanque 3,2025-07-06T08:50:44
100030,0,2025-07-06,095358,250721,Return,R,454.083.613,L250730-03,MP-01,65.717,kg,PLANTA CRE | Devolución parcial,513.113.009,Supervisor,Línea 1,2025-07-06T09:53:58
100031,0,2025-07-06,125547,250727,Issue,I,454.622.453,L250706-03,MP-02,274.695,kg,PLANTA CRE | Proceso OK,501.173.005,Operario C,Línea 1,2025-07-06T12:55:47
100032,0,2025-07-06,150920,250733,Issue,I,452.787.990,L250706-02,AD-01,730.363,kg,PLANTA CRE | Proceso OK,501.116.074,Operario B,Tanque 3,2025-07-06T15:09:20
100033,0,2025-07-06,152933,250711,Issue,I,452.792.297,L250706-02,MP-01,646.31,kg,PLANTA MAK | Proceso OK,513.161.127,Supervisor,Tanque 5,2025-07-06T15:29:33
100034,0,2025-07-06,161914,250716,Issue,I,451.738.922,L250706-02,MP-03,536.831,kg,PLANTA CRE | Proceso OK,505.094.071,Operario A,Línea 2,2025-07-06T16:19:14
100033,1,2025-07-06,161953,250711,Issue,I,451.876.239,L250706-03,MP-03,390.386,kg,PLANTA MAK | Proceso OK,513.161.127,Operario B,Línea 1,2025-07-06T16:19:53
100035,0,2025-07-06,180804,250730,Issue,I,455.520.806,L250706-03,AD-01,947.258,L,PLANTA CRE | Proceso OK,512.048.005,Supervisor,Línea 2,2025-07-06T18:08:04
100030,1,2025-07-06,183502,250721,Return,R,454.966.279,L250721-01,AD-01,142.705,L,PLANTA CRE | Devolución parcial,513.113.009,Operario C,Tanque 5,2025-07-06T18:35:02
100036,0,2025-07-07,061353,250717,Issue,I,452.155.237,L250707-02,MP-03,585.115,kg,PLANTA CRE | Proceso OK,505.070.054,Supervisor,Tanque 5,2025-07-07T06:13:53
100037,0,2025-07-07,075143,250732,Issue,I,451.754.191,L250707-01,AD-01,585.944,kg,PLANTA CRE | Proceso OK,513.167.038,Operario B,Tanque 5,2025-07-07T07:51:43
100038,0,2025-07-07,092837,250710,Issue,I,451.693.759,L250707-03,MP-01,631.664,kg,PLANTA CRE | Proceso OK,501.007.038,Operario B,Tanque 5,2025-07-07T09:28:37
100039,0,2025-07-07,102915,250713,Issue,I,454.195.097,L250707-02,MP-02,312.933,kg,PLANTA MAK | Proceso OK,505.139.010,Supervisor,Línea 2,2025-07-07T10:29:15
100040,0,2025-07-07,105028,250724,Return,R,452.394.874,L250725-01,MP-02,164.131,kg,PLANTA CRE | Devolución parcial,512.177.038,Operario A,Línea 1,2025-07-07T10:50:28
100041,0,2025-07-07,140410,250720,Issue,I,455.339.361,L250707-01,MP-02,590.41,kg,PLANTA CRE | Proceso OK,512.178.032,Operario B,Línea 2,2025-07-07T14:04:10
100042,0,2025-07-07,155653,250734,Issue,I,453.957.592,L250707-01,MP-01,605.703,kg,PLANTA CRE | Proceso OK,512.158.071,Operario C,Tanque 5,2025-07-07T15:56:53
100043,0,2025-07-07,161930,250733,Issue,I,452.787.990,L250707-02,MP-01,684.218,kg,PLANTA CRE | Proceso OK,501.116.074,Supervisor,Tanque 3,2025-07-07T16:19:30
100044,0,2025-07-08,060445,250712,Issue,I,453.246.060,L250708-02,MP-01,371.986,kg,PLANTA CRE | Proceso OK,501.154.054,Operario B,Línea 2,2025-07-08T06:04:45
100045,0,2025-07-08,070940,250711,Issue,I,452.792.297,L250708-01,AD-01,38.0,ud,PLANTA MAK | Proceso OK,513.161.127,Operario A,Línea 1,2025-07-08T07:09:40
100046,0,2025-07-08,074403,250733,Issue,I,452.787.990,L250708-03,AD-01,302.675,L,PLANTA CRE | Proceso OK,501.116.074,Operario C,Tanque 5,2025-07-08T07:44:03
100047,0,2025-07-08,074917,250715,Issue,I,455.010.115,L250708-01,AD-01,743.428,kg,PLANTA CRE | Proceso OK,501.086.010,Operario C,Tanque 3,2025-07-08T07:49:17
100048,0,2025-07-08,085019,250720,Issue,I,454.278.314,L250708-02,MP-02,590.34,kg,PLANTA CRE | Proceso OK,512.178.032,Operario A,Línea 1,2025-07-08T08:50:19
100048,1,2025-07-08,091347,250720,Issue,I,454.567.544,L250708-01,MP-03,283.392,kg,PLANTA CRE | Proceso OK,512.178.032,Operario A,Línea 2,2025-07-08T09:13:47
100049,0,2025-07-08,095301,250718,Issue,I,454.020.768,L250708-03,MP-01,351.264,kg,PLANTA CRE | Proceso OK,512.072.071,Operario A,Línea 2,2025-07-08T09:53:01
100050,0,2025-07-08,132026,250735,Issue,I,453.608.345,L250708-03,MP-01,474.115,kg,PLANTA CRE | Proceso OK,505.084.127,Operario B,Línea 1,2025-07-08T13:20:26
100051,0,2025-07-08,135828,250720,Return,R,453.436.764,L250703-03,AD-01,37.842,kg,PLANTA CRE | Devolución parcial,512.178.032,Operario B,Tanque 5,2025-07-08T13:58:28
100052,0,2025-07-08,141519,250728,Issue,I,455.895.154,L250708-03,MP-03,28.0,ud,PLANTA CRE | Proceso OK,501.162.148,Supervisor,Línea 2,2025-07-08T14:15:19
100053,0,2025-07-08,163335,250716,Issue,I,454.335.413,L250708-01,AD-01,343.806,L,PLANTA CRE | Proceso OK,505.094.071,Operario B,Tanque 5,2025-07-08T16:33:35
100050,1,2025-07-08,173006,250735,Issue,I,455.307.487,L250708-01,MP-01,673.733,kg,PLANTA CRE | Proceso OK,505.084.127,Supervisor,Tanque 3,2025-07-08T17:30:06
100054,0,2025-07-08,184841,250727,Issue,I,455.117.354,L250708-02,MP-02,312.719,kg,PLANTA CRE | Proceso OK,501.173.005,Operario B,Línea 2,2025-07-08T18:48:41
100055,0,2025-07-08,185904,250714,Issue,I,451.610.070,L250708-01,MP-03,375.331,kg,PLANTA CRE | Proceso OK,505.015.089,Supervisor,Tanque 3,2025-07-08T18:59:04
100056,0,2025-07-09,083727,250721,Issue,I,454.966.279,L250709-01,AD-01,484.001,kg,PLANTA CRE | Proceso OK,513.113.009,Supervisor,Tanque 3,2025-07-09T08:37:27
100057,0,2025-07-09,114856,250717,Return,R,454.711.157,L250730-03,MP-02,58.844,kg,PLANTA CRE | Devolución parcial,505.070.054,Supervisor,Tanque 3,2025-07-09T11:48:56
100058,0,2025-07-09,165434,250722,Issue,I,452.885.072,L250709-03,AD-01,328.9,kg,PLANTA CRE | Proceso OK,512.121.032,Operario A,Tanque 3,2025-07-09T16:54:34
100059,0,2025-07-09,181815,250729,Return,R,451.425.055,L250705-02,MP-02,43.588,kg,PLANTA MAK | Devolución parcial,505.112.005,Supervisor,Línea 1,2025-07-09T18:18:15
100060,0,2025-07-10,084839,250726,Return,R,455.730.333,L250724-01,MP-01,103.118,kg,PLANTA CRE | Devolución parcial,512.110.009,Operario A,Línea 2,2025-07-10T08:48:39
100061,0,2025-07-10,101303,250713,Issue,I,454.885.747,L250710-03,AD-01,440.148,kg,PLANTA MAK | Proceso OK,505.139.010,Operario B,Línea 2,2025-07-10T10:13:03
100062,0,2025-07-10,101349,250727,Issue,I,454.622.453,L250710-02,MP-01,572.936,kg,PLANTA CRE | Proceso OK,501.173.005,Operario A,Línea 2,2025-07-10T10:13:49
100063,0,2025-07-10,113022,250735,Issue,I,455.849.522,L250710-02,MP-03,745.155,kg,PLANTA CRE | Proceso OK,505.084.127,Operario B,Tanque 5,2025-07-10T11:30:22
100064,0,2025-07-10,153619,250716,Issue,I,455.322.680,L250710-01,AD-01,253.638,kg,PLANTA CRE | Proceso OK,505.094.071,Supervisor,Línea 2,2025-07-10T15:36:19
100065,0,2025-07-10,172348,250734,Issue,I,453.195.782,L250710-01,AD-01,743.248,kg,PLANTA CRE | Proceso OK,512.158.071,Operario B,Tanque 3,2025-07-10T17:23:48
100066,0,2025-07-11,071546,250719,Issue,I,455.825.124,L250711-03,MP-03,387.77,kg,PLANTA CRE | Proceso OK,512.102.024,Operario A,Línea 2,2025-07-11T07:15:46
100067,0,2025-07-11,072531,250720,Issue,I,453.436.764,L250711-01,MP-03,970.8,kg,PLANTA CRE | Proceso OK,512.178.032,Supervisor,Línea 1,2025-07-11T07:25:31
100068,0,2025-07-11,080603,250733,Issue,I,452.444.515,L250711-01,MP-03,326.901,kg,PLANTA CRE | Proceso OK,501.116.074,Supervisor,Línea 2,2025-07-11T08:06:03
100069,0,2025-07-11,081533,250723,Issue,I,454.171.711,L250711-02,MP-03,778.759,kg,PLANTA MAK | Proceso OK,505.024.071,Operario C,Tanque 5,2025-07-11T08:15:33
100070,0,2025-07-11,082656,250736,Issue,I,454.669.958,L250711-01,MP-01,320.994,kg,PLANTA MAK | Proceso OK,505.002.105,Operario B,Línea 1,2025-07-11T08:26:56
100071,0,2025-07-11,082958,250735,Return,R,453.608.345,L250705-01,AD-01,175.044,kg,PLANTA CRE | Devolución parcial,505.084.127,Supervisor,Tanque 3,2025-07-11T08:29:58
100072,0,2025-07-11,083934,250717,Return,R,452.155.237,L250725-02,AD-01,125.862,kg,PLANTA CRE | Devolución parcial,505.070.054,Operario B,Tanque 5,2025-07-11T08:39:34
100073,0,2025-07-11,091735,250735,Issue,I,455.849.522,L250711-03,MP-03,565.859,kg,PLANTA CRE | Proceso OK,505.084.127,Supervisor,Línea 2,2025-07-11T09:17:35
100074,0,2025-07-11,140202,250734,Issue,I,452.511.528,L250711-02,MP-02,338.029,kg,PLANTA CRE | Proceso OK,512.158.071,Operario B,Tanque 5,2025-07-11T14:02:02
100066,1,2025-07-11,182936,250719,Issue,I,453.871.701,L250711-01,MP-03,581.512,L,PLANTA CRE | Proceso OK,512.102.024,Supervisor,Línea 2,2025-07-11T18:29:36
100075,0,2025-07-11,184352,250721,Issue,I,454.966.279,L250711-01,MP-01,1063.178,kg,PLANTA CRE | Proceso OK,513.113.009,Operario B,Línea 1,2025-07-11T18:43:52
100076,0,2025-07-12,072738,250730,Issue,I,455.568.021,L250712-03,MP-03,728.444,L,PLANTA CRE | Proceso OK,512.048.005,Operario A,Tanque 5,2025-07-12T07:27:38
100077,0,2025-07-12,075123,250730,Return,R,455.520.806,L250729-02,MP-01,143.496,kg,PLANTA CRE | Devolución parcial,512.048.005,Operario C,Tanque 3,2025-07-12T07:51:23
100078,0,2025-07-12,153016,250735,Issue,I,455.758.863,L250712-01,AD-01,315.842,kg,PLANTA CRE | Proceso OK,505.084.127,Operario C,Línea 1,2025-07-12T15:30:16
100079,0,2025-07-12,160622,250715,Issue,I,452.760.453,L250712-01,MP-03,1244.064,L,PLANTA CRE | Proceso OK,501.086.010,Operario B,Línea 2,2025-07-12T16:06:22
100080,0,2025-07-12,160653,250725,Issue,I,453.665.419,L250712-03,AD-01,571.383,kg,PLANTA CRE | Proceso OK,513.157.032,Operario B,Tanque 5,2025-07-12T16:06:53
100081,0,2025-07-13,075345,250729,Issue,I,454.906.358,L250713-02,MP-02,33.0,ud,PLANTA MAK | Proceso OK,505.112.005,Operario A,Tanque 3,2025-07-13T07:53:45
100082,0,2025-07-13,094043,250722,Issue,I,452.885.072,L250713-03,AD-01,38.0,ud,PLANTA CRE | Proceso OK,512.121.032,Operario A,Línea 1,2025-07-13T09:40:43
100082,1,2025-07-13,095449,250722,Issue,I,455.521.765,L250713-02,MP-02,441.494,kg,PLANTA CRE | Proceso OK,512.121.032,Operario B,Tanque 5,2025-07-13T09:54:49
100083,0,2025-07-13,101137,250715,Issue,I,451.968.905,L250713-03,MP-03,267.623,kg,PLANTA CRE | Proceso OK,501.086.010,Operario A,Línea 1,2025-07-13T10:11:37
100084,0,2025-07-13,111342,250711,Issue,I,455.197.722,L250713-03,MP-03,1055.231,kg,PLANTA MAK | Proceso OK,513.161.127,Operario B,Tanque 3,2025-07-13T11:13:42
100085,0,2025-07-13,114910,250727,Issue,I,454.280.221,L250713-02,MP-03,731.806,kg,PLANTA CRE | Proceso OK,501.173.005,Operario C,Línea 2,2025-07-13T11:49:10
100086,0,2025-07-13,125037,250716,Issue,I,455.322.680,L250713-01,MP-03,543.718,kg,PLANTA CRE | Proceso OK,505.094.071,Operario C,Línea 2,2025-07-13T12:50:37
100087,0,2025-07-13,140759,250710,Issue,I,454.033.031,L250713-02,MP-03,681.192,kg,PLANTA CRE | Proceso OK,501.007.038,Operario A,Tanque 5,2025-07-13T14:07:59
100088,0,2025-07-13,141804,250734,Issue,I,453.195.782,L250713-02,MP-01,1272.065,kg,PLANTA CRE | Proceso OK,512.158.071,Operario B,Tanque 3,2025-07-13T14:18:04
100089,0,2025-07-14,062219,250717,Issue,I,452.155.237,L250714-03,MP-01,204.073,kg,PLANTA CRE | Proceso OK,505.070.054,Supervisor,Tanque 5,2025-07-14T06:22:19
100090,0,2025-07-14,100245,250715,Issue,I,451.968.905,L250714-03,MP-01,184.965,kg,PLANTA CRE | Proceso OK,501.086.010,Supervisor,Línea 2,2025-07-14T10:02:45
100091,0,2025-07-14,120024,250713,Issue,I,453.434.421,L250714-01,AD-01,1025.386,kg,PLANTA MAK | Proceso OK,505.139.010,Operario A,Línea 2,2025-07-14T12:00:24
100092,0,2025-07-14,165052,250722,Issue,I,455.521.765,L250714-03,AD-01,589.077,kg,PLANTA CRE | Proceso OK,512.121.032,Supervisor,Tanque 5,2025-07-14T16:50:52
100093,0,2025-07-14,180105,250719,Issue,I,455.825.124,L250714-01,AD-01,449.066,kg,PLANTA CRE | Proceso OK,512.102.024,Supervisor,Tanque 5,2025-07-14T18:01:05
100094,0,2025-07-14,183929,250727,Issue,I,454.280.221,L250714-02,MP-01,872.543,kg,PLANTA CRE | Proceso OK,501.173.005,Operario C,Línea 2,2025-07-14T18:39:29
100095,0,2025-07-15,074314,250724,Issue,I,455.303.717,L250715-03,MP-03,237.043,kg,PLANTA CRE | Proceso OK,512.177.038,Supervisor,Tanque 3,2025-07-15T07:43:14
100096,0,2025-07-15,075948,250713,Issue,I,451.675.442,L250715-03,MP-01,243.191,L,PLANTA MAK | Proceso OK,505.139.010,Operario A,Línea 1,2025-07-15T07:59:48
100097,0,2025-07-15,091845,250720,Return,R,455.339.361,L250707-01,AD-01,131.273,kg,PLANTA CRE | Devolución parcial,512.178.032,Operario C,Línea 1,2025-07-15T09:18:45
100098,0,2025-07-15,094528,250727,Issue,I,455.499.540,L250715-02,MP-01,300.285,kg,PLANTA CRE | Proceso OK,501.173.005,Operario B,Línea 1,2025-07-15T09:45:28
100098,1,2025-07-15,102426,250727,Issue,I,455.499.540,L250715-03,MP-02,371.241,kg,PLANTA CRE | Proceso OK,501.173.005,Operario C,Tanque 3,2025-07-15T10:24:26
100099,0,2025-07-15,102804,250716,Issue,I,454.335.413,L250715-01,MP-03,835.944,kg,PLANTA CRE | Proceso OK,505.094.071,Supervisor,Línea 2,2025-07-15T10:28:04
100098,2,2025-07-15,102928,250727,Issue,I,454.114.291,L250715-02,MP-01,244.466,kg,PLANTA CRE | Proceso OK,501.173.005,Operario C,Línea 1,2025-07-15T10:29:28
100100,0,2025-07-15,132752,250719,Issue,I,451.714.792,L250715-02,MP-02,422.164,kg,PLANTA CRE | Proceso OK,512.102.024,Operario C,Tanque 5,2025-07-15T13:27:52
100101,0,2025-07-15,144517,250721,Issue,I,451.911.443,L250715-03,MP-02,424.324,L,PLANTA CRE | Proceso OK,513.113.009,Supervisor,Tanque 3,2025-07-15T14:45:17
100102,0,2025-07-15,152523,250711,Issue,I,452.792.297,L250715-01,MP-02,723.223,kg,PLANTA MAK | Proceso OK,513.161.127,Operario C,Tanque 5,2025-07-15T15:25:23
100103,0,2025-07-15,160103,250725,Issue,I,455.139.398,L250715-03,MP-01,454.572,kg,PLANTA CRE | Proceso OK,513.157.032,Operario C,Tanque 5,2025-07-15T16:01:03
100101,1,2025-07-15,180313,250721,Issue,I,455.553.506,L250715-01,MP-03,743.19,kg,PLANTA CRE | Proceso OK,513.113.009,Supervisor,Tanque 5,2025-07-15T18:03:13
100104,0,2025-07-16,101423,250720,Issue,I,454.567.544,L250716-03,MP-03,270.94,kg,PLANTA CRE | Proceso OK,512.178.032,Operario A,Línea 2,2025-07-16T10:14:23
100105,0,2025-07-16,132815,250725,Issue,I,453.665.419,L250716-02,MP-01,561.453,kg,PLANTA CRE | Proceso OK,513.157.032,Operario C,Línea 2,2025-07-16T13:28:15
100106,0,2025-07-16,142915,250734,Issue,I,453.957.592,L250716-02,MP-01,797.664,L,PLANTA CRE | Proceso OK,512.158.071,Operario A,Tanque 5,2025-07-16T14:29:15
100107,0,2025-07-16,174723,250726,Issue,I,453.623.152,L250716-01,MP-01,560.47,kg,PLANTA CRE | Proceso OK,512.110.009,Supervisor,Línea 1,2025-07-16T17:47:23
100108,0,2025-07-17,115435,250726,Issue,I,451.130.282,L250717-03,AD-01,486.26,kg,PLANTA CRE | Proceso OK,512.110.009,Operario B,Línea 1,2025-07-17T11:54:35
100109,0,2025-07-17,152409,250728,Issue,I,454.291.259,L250717-03,MP-01,509.934,kg,PLANTA CRE | Proceso OK,501.162.148,Operario C,Línea 2,2025-07-17T15:24:09
100110,0,2025-07-18,102838,250730,Issue,I,454.895.482,L250718-01,MP-01,265.476,kg,PLANTA CRE | Proceso OK,512.048.005,Operario C,Tanque 3,2025-07-18T10:28:38
100111,0,2025-07-18,154334,250735,Issue,I,455.849.522,L250718-03,MP-03,495.963,L,PLANTA CRE | Proceso OK,505.084.127,Operario C,Línea 1,2025-07-18T15:43:34
100112,0,2025-07-19,081744,250726,Issue,I,455.649.600,L250719-02,MP-01,507.814,kg,PLANTA CRE | Proceso OK,512.110.009,Operario C,Línea 1,2025-07-19T08:17:44
100113,0,2025-07-19,085243,250735,Issue,I,453.608.345,L250719-01,AD-01,327.699,kg,PLANTA CRE | Proceso OK,505.084.127,Operario B,Tanque 5,2025-07-19T08:52:43
100114,0,2025-07-19,114909,250725,Issue,I,451.312.505,L250719-03,MP-02,242.819,kg,PLANTA CRE | Proceso OK,513.157.032,Operario B,Línea 2,2025-07-19T11:49:09
100115,0,2025-07-19,153032,250713,Issue,I,454.885.747,L250719-01,MP-03,509.67,kg,PLANTA MAK | Proceso OK,505.139.010,Operario A,Línea 1,2025-07-19T15:30:32
100116,0,2025-07-19,172611,250724,Issue,I,454.110.243,L250719-01,MP-01,346.878,kg,PLANTA CRE | Proceso OK,512.177.038,Operario C,Tanque 3,2025-07-19T17:26:11
100117,0,2025-07-20,073701,250718,Issue,I,455.054.975,L250720-03,MP-01,825.096,kg,PLANTA CRE | Proceso OK,512.072.071,Operario B,Tanque 3,2025-07-20T07:37:01
100118,0,2025-07-20,083113,250719,Issue,I,453.871.701,L250720-02,MP-01,802.533,kg,PLANTA CRE | Proceso OK,512.102.024,Supervisor,Tanque 3,2025-07-20T08:31:13
100117,1,2025-07-20,134416,250718,Issue,I,454.020.768,L250720-01,AD-01,669.036,kg,PLANTA CRE | Proceso OK,512.072.071,Operario A,Línea 2,2025-07-20T13:44:16
100119,0,2025-07-20,143050,250716,Issue,I,455.322.680,L250720-02,AD-01,712.823,kg,PLANTA CRE | Proceso OK,505.094.071,Supervisor,Línea 2,2025-07-20T14:30:50
100120,0,2025-07-20,164156,250726,Issue,I,451.921.083,L250720-02,AD-01,603.065,kg,PLANTA CRE | Proceso OK,512.110.009,Operario A,Línea 1,2025-07-20T16:41:56
100119,1,2025-07-20,175530,250716,Issue,I,454.335.413,L250720-02,AD-01,391.381,kg,PLANTA CRE | Proceso OK,505.094.071,Supervisor,Línea 2,2025-07-20T17:55:30
100121,0,2025-07-21,062319,250728,Issue,I,451.572.695,L250721-01,MP-01,383.087,kg,PLANTA CRE | Proceso OK,501.162.148,Supervisor,Tanque 3,2025-07-21T06:23:19
100121,1,2025-07-21,074810,250728,Issue,I,453.084.597,L250721-02,MP-01,1069.522,kg,PLANTA CRE | Proceso OK,501.162.148,Operario A,Tanque 3,2025-07-21T07:48:10
100122,0,2025-07-21,075554,250722,Issue,I,455.521.765,L250721-02,MP-01,103.0,ud,PLANTA CRE | Proceso OK,512.121.032,Operario B,Tanque 3,2025-07-21T07:55:54
100123,0,2025-07-21,112042,250721,Issue,I,454.966.279,L250721-01,AD-01,1077.417,L,PLANTA CRE | Proceso OK,513.113.009,Operario C,Tanque 5,2025-07-21T11:20:42
100124,0,2025-07-21,130430,250727,Issue,I,454.114.291,L250721-03,MP-03,993.662,kg,PLANTA CRE | Proceso OK,501.173.005,Operario C,Línea 2,2025-07-21T13:04:30
100125,0,2025-07-21,132417,250711,Issue,I,451.047.678,L250721-03,MP-02,438.309,kg,PLANTA MAK | Proceso OK,513.161.127,Operario B,Línea 2,2025-07-21T13:24:17
100126,0,2025-07-21,141517,250712,Issue,I,453.246.060,L250721-01,MP-01,296.956,kg,PLANTA CRE | Proceso OK,501.154.054,Operario C,Línea 1,2025-07-21T14:15:17
100125,1,2025-07-21,144959,250711,Issue,I,451.876.239,L250721-01,MP-02,556.118,kg,PLANTA MAK | Proceso OK,513.161.127,Operario C,Línea 2,2025-07-21T14:49:59
100127,0,2025-07-21,175241,250727,Return,R,454.280.221,L250713-02,MP-02,57.452,kg,PLANTA CRE | Devolución parcial,501.173.005,Operario C,Tanque 3,2025-07-21T17:52:41
100128,0,2025-07-21,180422,250730,Issue,I,451.977.539,L250721-02,MP-03,552.1,kg,PLANTA CRE | Proceso OK,512.048.005,Operario A,Tanque 3,2025-07-21T18:04:22
100129,0,2025-07-21,180815,250732,Issue,I,454.531.397,L250721-02,MP-02,553.425,kg,PLANTA CRE | Proceso OK,513.167.038,Operario A,Línea 2,2025-07-21T18:08:15
